member,expression,augmentation,blue_mean,blue_std,green_mean,green_std,red_mean,red_std,intensity_mean,intensity_std,intensity_median,edge_density,lbp_mean,lbp_std
Member_1,surprised,Contrast,155.16378807403936,64.6531025429508,163.45518275538893,71.3302866966363,172.4043468837863,71.11583575966272,165.18946403467666,69.75458331413083,176.0,0.17682989690721648,5.279531982193065,2.38306190840898
Member_2,neutral,original,149.55396010159464,61.69604974446958,153.69236911585622,63.80343583218069,157.18823674821007,61.48876316983572,154.2676799066463,62.54782897402029,201.0,0.08889786142080289,4.941677886432351,2.472932705486274
Member_2,neutral,Rotated,132.84485237478478,74.8049632551293,136.50991981476233,76.97739953139624,139.6555589346078,75.75701327742863,137.03574487761927,76.12916780187906,136.0,0.06458090566473502,5.2800468277588815,2.4469465610775747
Member_2,neutral,Flipped,149.55396010159464,61.69604974446958,153.69236911585622,63.803435832180654,157.18823674821007,61.48876316983575,154.2676799066463,62.54782897402025,201.0,0.08893017565822625,4.941574136406105,2.4729635377479444
Member_2,neutral,Grayscale,154.2676799066463,62.54782897402029,154.2676799066463,62.54782897402029,154.2676799066463,62.54782897402029,154.2676799066463,62.54782897402029,201.0,0.08889786142080289,4.941677886432351,2.472932705486274
Member_2,neutral,Brightness,204.4805652826331,57.03607231022749,205.39943612475855,56.27007703994909,209.1401832627341,54.46743544262885,206.41091907924437,55.45595770768309,255.0,0.08745799149134963,6.328302892337491,2.331260138065237
Member_2,neutral,Blurred,149.55387357489292,60.96563856277605,153.69236755755543,63.08147880044513,157.18799193095447,60.743432177549664,154.25972428902116,61.81519364573093,202.0,0.0009182492441421013,6.2207739866780045,1.9158469270046952
Member_2,neutral,Noisy,149.58352361006132,65.83385857529468,153.5703579367704,67.76442485590012,157.04856280378664,65.70183729739786,154.15606029738285,64.1789859565674,179.0,0.3501343583343831,5.260814525462963,3.4738512277026685
Member_2,neutral,Zoomed,137.11570506385425,66.74878851034005,143.14728525958995,66.859224452374,148.7476399944623,63.41914764051658,144.13946070326278,65.4743079380963,134.0,0.02603699176429831,4.878157609494415,2.021853983597171
Member_2,neutral,Contrast,150.11617567069266,56.985774587535126,154.38483263193396,59.40976348912334,158.2717823385141,59.12766549423223,155.00480571761884,58.612174874203546,183.0,0.2480979708627278,4.981593433090829,2.4764988550117097
Member_2,smile,original,153.3435913813828,64.32682405747443,158.09767617984693,65.5032839030746,160.98650519717918,64.01215705065012,158.47422480276833,64.7163842248716,205.0,0.043924234431426894,4.920494263484715,2.514189095720292
Member_2,smile,Rotated,136.53845886348367,77.65957765883074,140.68047731245275,79.3646340432826,143.43274554227554,78.54007330914139,141.08425223870412,78.79132174056883,202.0,0.022183477943646595,5.257274066069329,2.4667791283523632
Member_2,smile,Flipped,153.3435913813828,64.32682405747441,158.09767617984693,65.50328390307456,160.98650519717918,64.01215705065017,158.47422480276833,64.7163842248716,205.0,0.04397401804085832,4.9207681143445035,2.5141406368874284
Member_2,smile,Grayscale,158.47422480276833,64.7163842248716,158.47422480276833,64.7163842248716,158.47422480276833,64.7163842248716,158.47422480276833,64.7163842248716,205.0,0.043924234431426894,4.920494263484715,2.514189095720292
Member_2,smile,Brightness,206.7806539089401,58.74632633598438,208.52541432757516,57.52609836174594,211.3525353717876,56.265908795507904,209.18279868853406,57.014471872285064,255.0,0.042811279604434364,6.569226446365583,2.2651879474010244
Member_2,smile,Blurred,153.34385112551965,63.9475928634585,158.0977736146542,65.12238358641835,160.98657679699966,63.6228797378643,158.46692203115813,64.33276771435717,206.0,0.0006653124212648022,6.337916459986772,1.8983376841025559
Member_2,smile,Noisy,153.3143278048102,68.26973053581766,157.92913225282396,69.3099858279667,160.77666556109327,67.98494258235145,158.25486681941294,66.22942012417195,191.0,0.3459909185510624,5.285710841049383,3.5033593731223123
Member_2,smile,Zoomed,144.27103566638846,69.59237658887098,150.5713157176451,69.24185521897718,155.51411804112078,65.97133302260372,151.3862339544228,68.11737730963553,204.0,0.007961358733308138,4.880088426188377,2.0429551232350533
Member_2,smile,Contrast,151.42208979946145,54.9106727778832,156.35011311623416,56.6635339803365,159.3963077949158,56.87889315822686,156.6273240005879,56.17542379418569,181.0,0.290774088377635,4.955505509495465,2.5170167038600892
